ip1,ip2,port1,port2,proto,pkts12_min,pkts12_mid,pkts12_max,pkts21_min,pkts21_mid,pkts21_max,pkl12_min,pkl12_mid,pkl12_max,pkl21_min,pkl21_mid,pkl21_max,behavior_tag,topology_tag,class,app,tag
192.168.1.111,202.106.0.20,6.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,55.0,55.0,257.0,257.0,257.0,0,1_1,8,916,90
192.168.1.112,202.106.0.20,6.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,55.0,55.0,257.0,257.0,257.0,0,1_1,8,916,90
192.168.6.222,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,65.0,65.0,461.0,461.0,461.0,0,1_1,8,916,90
192.168.6.225,202.106.0.20,6.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,58.0,66.0,69.0,207.0,216.0,302.0,0,1_1,8,916,90
192.168.6.238,202.106.0.20,7.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,53.0,71.0,72.0,126.0,352.0,386.0,0,1_1,8,916,90
192.168.6.242,202.106.0.20,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,63.0,77.0,230.0,275.5,534.0,0,1_1,8,916,90
192.168.6.253,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,72.5,74.0,126.0,258.5,391.0,0,1_1,8,916,90
192.168.6.254,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,57.0,65.0,67.0,371.0,440.0,461.0,0,1_1,8,916,90
192.168.7.107,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,66.0,66.0,263.0,303.0,303.0,0,1_1,8,916,90
192.168.7.116,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,66.0,71.0,375.0,381.5,388.0,0,1_1,8,916,90
192.168.7.118,202.106.0.20,5.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,69.0,71.0,126.0,255.0,369.0,0,1_1,8,916,90
192.168.7.131,202.106.0.20,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,58.0,67.5,83.0,270.0,388.0,454.0,0,1_1,8,916,90
192.168.7.132,202.106.0.20,5.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,69.0,71.0,235.0,288.0,462.0,0,1_1,8,916,90
192.168.7.135,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,63.0,71.0,126.0,300.0,334.0,0,1_1,8,916,90
192.168.7.137,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,62.0,62.0,502.0,502.0,502.0,0,1_1,8,916,90
192.168.7.147,202.106.0.20,5.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,71.0,75.0,126.0,394.0,504.0,1,1_1,8,916,91
192.168.7.17,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,1_1,8,916,90
192.168.7.178,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,1_1,8,916,90
192.168.7.179,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,57.0,57.0,57.0,312.0,312.0,312.0,0,1_1,8,916,90
192.168.7.189,202.106.0.20,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,59.5,63.0,276.0,488.5,520.0,0,1_1,8,916,90
192.168.7.191,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,63.0,64.0,214.0,223.0,232.0,0,1_1,8,916,90
192.168.7.192,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,67.0,71.0,71.0,126.0,126.0,297.0,0,1_1,8,916,90
192.168.7.195,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,1_1,8,916,90
192.168.7.196,202.106.0.20,8.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,60.0,79.0,324.0,360.0,523.0,1,1_1,8,916,91
192.168.7.200,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,81.0,81.0,81.0,522.0,522.0,522.0,0,1_1,8,916,90
192.168.7.201,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,72.0,72.0,72.0,430.0,430.0,430.0,0,1_1,8,916,90
192.168.7.202,202.106.0.20,7.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,69.0,72.0,282.0,426.0,522.0,0,1_1,8,916,90
192.168.7.204,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,65.0,65.0,114.0,114.0,114.0,0,1_1,8,916,90
192.168.7.205,202.106.0.20,5.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,59.0,81.0,129.0,156.0,202.0,0,1_1,8,916,90
192.168.7.207,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,65.0,65.0,161.0,195.5,230.0,0,1_1,8,916,90
192.168.7.214,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,63.0,63.0,63.0,276.0,276.0,276.0,0,1_1,8,916,90
192.168.7.215,202.106.0.20,16.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,62.0,71.0,137.0,358.5,529.0,1,1_1,8,916,91
192.168.7.219,202.106.0.20,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,67.0,69.0,69.0,235.0,235.0,364.0,0,1_1,8,916,90
192.168.7.220,202.106.0.20,17.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,61.0,69.0,161.0,258.0,496.0,1,1_1,8,916,91
192.168.7.222,202.106.0.20,8.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,62.0,71.0,126.0,334.0,346.0,1,1_1,8,916,91
192.168.7.223,202.106.0.20,7.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,69.0,73.0,81.0,170.0,504.0,537.0,0,1_1,8,916,90
192.168.7.227,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,59.0,59.0,413.0,413.0,413.0,0,1_1,8,916,90
192.168.7.228,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,71.0,71.0,126.0,126.0,164.0,0,1_1,8,916,90
192.168.7.229,202.106.0.20,9.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,63.0,76.0,276.0,520.0,537.0,0,1_1,8,916,90
192.168.7.234,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,62.0,62.0,417.0,417.0,417.0,0,1_1,8,916,90
192.168.7.236,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,67.0,67.0,67.0,381.0,381.0,381.0,0,1_1,8,916,90
192.168.7.246,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,75.0,75.0,75.0,290.0,290.0,290.0,0,1_1,8,916,90
192.168.7.248,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,68.0,68.0,68.0,462.0,462.0,462.0,0,1_1,8,916,90
192.168.7.25,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,66.0,71.0,126.0,212.0,298.0,0,1_1,8,916,90
192.168.7.3,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,61.0,61.0,410.0,410.0,410.0,0,1_1,8,916,90
192.168.7.31,202.106.0.20,9.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,59.0,69.0,246.0,321.0,383.0,1,1_1,8,916,91
192.168.7.34,202.106.0.20,7.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,70.0,73.0,275.0,301.0,495.0,0,1_1,8,916,90
192.168.7.38,202.106.0.20,5.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,63.0,64.0,72.0,174.0,281.0,461.0,0,1_1,8,916,90
192.168.7.39,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,62.0,62.0,334.0,334.0,334.0,0,1_1,8,916,90
192.168.7.40,202.106.0.20,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,69.0,71.0,126.0,230.0,364.0,0,1_1,8,916,90
192.168.7.42,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,66.5,71.0,126.0,230.0,334.0,0,1_1,8,916,90
192.168.7.47,202.106.0.20,10.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,54.0,71.0,126.0,289.5,385.0,1,1_1,8,916,91
192.168.7.49,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,1_1,8,916,90
192.168.7.66,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,71.0,71.0,126.0,410.0,518.0,0,1_1,8,916,90
192.168.7.79,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,1_1,8,916,90
