ip1,ip2,port1,port2,proto,pkts12_min,pkts12_mid,pkts12_max,pkts21_min,pkts21_mid,pkts21_max,pkl12_min,pkl12_mid,pkl12_max,pkl21_min,pkl21_mid,pkl21_max,behavior_tag,topology_tag,class,app,community_tag
8.8.4.4,192.168.7.144,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,166.0,166.0,166.0,59.0,59.0,59.0,-2,-1_4,8,916,0
192.168.7.157,111.206.76.34,2.0,1.0,6.0,7.0,13.5,20.0,26.0,38.0,50.0,124.14285714285714,143.69642857142856,163.25,201.46153846153845,324.91076923076923,448.36,-2,100_100,8,913,1
192.168.7.157,112.65.74.131,1.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,216.33333333333334,216.33333333333334,216.33333333333334,52.0,52.0,52.0,-2,101_101,8,913,2
192.168.7.157,112.65.74.129,2.0,1.0,6.0,2.0,2.5,3.0,1.0,1.5,2.0,220.33333333333334,262.4166666666667,304.5,52.0,52.0,52.0,-2,103_103,8,913,3
224.0.0.22,192.168.7.185,1.0,1.0,2.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,45.714285714285715,45.714285714285715,45.714285714285715,-2,104_104,8,1676,4
59.111.160.197,192.168.7.234,1.0,1.0,6.0,5.0,5.0,5.0,3.0,3.0,3.0,715.0,715.0,715.0,95.0,95.0,95.0,-2,105_105,8,913,5
220.194.213.3,192.168.7.234,1.0,1.0,6.0,145.0,145.0,145.0,111.0,111.0,111.0,1467.9172413793103,1467.9172413793103,1467.9172413793103,46.34234234234234,46.34234234234234,46.34234234234234,-2,106_106,8,237,6
58.251.111.101,192.168.7.212,1.0,1.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,337.25,337.25,337.25,179.2,179.2,179.2,-2,107_107,8,237,7
58.247.204.144,192.168.7.205,1.0,1.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,120.5,120.5,120.5,189.6,189.6,189.6,-2,108_108,8,237,8
192.168.7.255,192.168.7.185,1.0,1.0,17.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,78.0,78.0,78.0,-2,109_109,9,388,9
192.168.6.237,121.22.240.194,1.0,1.0,6.0,179.0,179.0,179.0,320.0,320.0,320.0,50.81005586592179,50.81005586592179,50.81005586592179,1476.696875,1476.696875,1476.696875,-2,10_10,8,237,10
